지역,지점수,비율
세종특별자치시,감탄-세종도담점,세종 보듬4로 9 (카림에비뉴1층)
경기도,감탄-안양상떼빌점,"경기 안양시 만안구 장내로 72 (안양동, 수리산성원상떼빌1차 상가동)"
경기도,감탄-양평휴게소상행선점,양평휴게소 상행선
경기도,감탄-광교웰빙점,경기 수원시 영통구 이의동 1202 (101호)
경기도,감탄-롯데마트김포한강점,경기 김포시 김포한강4로 8 (장기동)
울산광역시,감탄-수암점,울산광역시 남구 야음동 723-3
울산광역시,감탄-강동산하점,울산광역시 북구 산하동 96
경기도,감탄-송산점,경기도 화성시 송산면 봉가리 146-2
인천광역시,감탄-간석점,인천 남동구 간석동 616-78
충청북도,감탄-오창2산단점,충북 청주시 청원구 오창읍 주성리 328번지 104호
서울특별시,감탄-광장점,서울시 광진구 광장동 582번지 광장힐스테이트 제상가동 1층 16호
서울특별시,감탄-롯데마트 청량리점,서울시 동대문구 왕산로 214
부산광역시,감탄-서부터미널점,부산시 사상구 괘법동 533번지
경상남도,감탄-상동프라자점,경남 거제시 상동동 931-19 상동프라자 제1층 제108호
경기도,감탄-덕천점,경기도 안양시 만안구 안양동 192번지 101호
울산광역시,감탄-울산혁신도시점,울산광역시 중구 서동 602-2 백운빌딩 104호
경기도,감탄-롯데마트시흥배곧점,경기 시흥시 서울대학로278번길 67
경기도,감탄-장당점,경기 평택시 이충동 614-4
경기도,감탄-화성시청점,경기도 화성시 남양읍 남양리 2018-9
경기도,감탄-평촌점,경기도 안양시 동안구 호계동 1065 중앙상가 제1층 102호
경기도,감탄-비전2호점,경기도 평택시 비전동 828-1번지 태산신그린상가동103호
경상북도,감탄-롯데마트구미점,경북 구미시 구미대로 22길 11
부산광역시,감탄-롯데마트광복점,부산 중구 중앙대로 2
강원도,감탄-롯데마트석사점,"강원도 춘천시 세실로 108 (석사동 27-2,롯데마트 석사점)"
경상남도,창원경상대병원점,"경상남도 창원시 성산구 삼정자로 11 (성주동 146-1,창원경상대학교병원)"
경기도,롯데마트 의정부점,경기도 의정부시 산단로76번길 116
경상북도,감탄-롯데마트포항점,경상북도 포항시 남구 지곡로 247 (지곡동 481)
강원도,감탄-롯데마트원주점,강원도 원주시 봉화로 1
경상남도,감탄-롯데마트양덕점,경남 창원시 마산회원구 양덕동 222-3
전라북도,감탄-롯데마트정읍점,전북 정읍시 벚꽃로 85
대전광역시,감탄-롯데마트노은점,대전시 유성구 북유성대로 206
서울특별시,감탄-강동역점,"서울특별시 강동구 천호대로 1089 (천호동 447-17,강동 헤르셔)"
인천광역시,감탄-롯데마트송도점,"인천광역시 연수구 컨벤시아대로 177 (송도동 6-11,롯데마트)"
인천광역시,감탄-롯데마트연수점,인천시 연수구 청능대로 87
경상남도,감탄-롯데마트통영점,"경남 통영시 무전대로 65 (무전동 1069,롯데마트)"
강원도,감탄-우두점,강원도 춘천시 우두동 1067-1
울산광역시,감탄-롯데마트진장점,"울산광역시 북구 진장유통로 64 (진장동 283-1,롯데마트)"
울산광역시,감탄-롯데마트울산점,"울산광역시 남구 삼산로 74 (달동 830-1,롯데마트울산점)"
충청남도,감탄-롯데마트서산점,충청남도 서산시 충의로 27 (예천동 508-10)
경상남도,감탄-롯데마트마산점,경남 창원시 마산합포구 창포동 3가 8-1
경상남도,감탄-롯데마트장유점,"경남 김해시 번화1로56번길 15 (대청동 300,롯데마트)"
부산광역시,감탄-롯데마트부산점,부산시 부산진구 부암동 257
광주광역시,감탄-롯데마트상무점,광주광역시 서구 시청로 40
광주광역시,감탄-롯데마트월드컵점,광주광역시 서구 풍암동 423-2
전라남도,감탄-롯데마트여수점,전남 여수시 국동 37-100
경기도,감탄-롯데마트수원점,경기도 수원시 권선구 서둔동 296-77
대전광역시,감탄-롯데마트대덕밸리점,대전시 유성구 관평동 887
부산광역시,감탄-롯데마트사상점,부산시 사상구 엄궁동 690
충청북도,감탄-롯데마트서청주점,충북 청주시 흥덕구 비하동 811
인천광역시,감탄-롯데마트검단점,인천 서구 마전동 626-7
전라남도,감탄-롯데마트여천점,전남 여수시 선원동 1268-2
인천광역시,감탄-롯데마트삼산점,인천광역시 부평구 삼산동 465-1
경기도,감탄-롯데마트김포점(폐점),경기도 김포시 운양동 1077-2
광주광역시,감탄-롯데마트수완점,광주광역시 광산구 장덕동 1678
전라북도,감탄-장수읍점,전리북도 장수군 장수읍 장수리 싸리재로 4
강원도,감탄-인제원통점,강원도 인제군 북면 원통리 645-8
전라북도,감탄-장동점,전북 전주시 덕진구 장동 1069-2
서울특별시,감탄-롯데마트송파점,서울시 송파구 문정2동 150-2
충청남도,감탄-롯데마트성정점,충청남도 천안시 서북구 성정2동 1486
충청남도,감탄-롯데마트당진점,충남 당진시 원당동 824
경기도,감탄-롯데마트시화점,경기도 시흥시 정왕동 1366-4
경기도,감탄-롯데마트권선점,경기도 수원시 권선구 권선동 1296-5
경기도,감탄-롯데마트오산점,경기도 오산시 오산동 868
경기도,감탄-롯데마트평택점,경기도 평택시 합정동 968-1
경기도,롯데마트마석점,경기도 남양주시 화도읍 마석우리 255-7번지
전라북도,감탄-혁신중동점(까페),전북 전주시 완산구 중동 780-5
부산광역시,감탄-롯데마트화명점,부산시 북구 화명3동 2273번지
부산광역시,감탄-동부산롯데점,부산광역시 기장군 기장읍 당사리 64  롯데마트 동부산점2층
경기도,감탄-상동3호점,경기도 부천시 원미구 상동 524-2
전라남도,감탄-영산점*,전남 목포시 옥암동 1312 코아루천년가 상가 301동 108호
전라남도,감탄-용당점,전남 순천시 용당동 355-1
전라남도,감탄-포미점,전남 목포시 용해동 976-1
경상남도,감탄-초전점,경남 진주시 초전동 1641-7번지
경기도,감탄-시흥생금점,경기도 시흥시 죽율동 82-14 시흥6차푸르지오아파트 1단지 상가동 102호
경상남도,감탄-아주점,경남 거제시 아주동 1200 석호해와루아파트
경기도,감탄-성남여수점,경기도 성남시 중원구 여수동 403외1필지
인천광역시,감탄-간석래미안점,인천광역시 남동구 간석동 939-1간석래미안아파트 상가1동 102-1호
경상남도,감탄-남지점,경남 창녕군 남지읍 남지리 662-25
서울특별시,감탄-서울여대점,서울시 노원구 공릉동 화랑로 623 서울여자대학교 50주념기념관 106호
전라북도,감탄-원광대점,전북 익산시 신동 763-18
강원도,감탄-거두점,강원도 춘천시 동내면 거두리 931-1
전라북도,감탄-금암터미널점 ,전북 전주시 덕진구 금암동 705-14
전라북도,감탄-송천센트럴점,전북 전주시 덕진구 송천동1가 382-1번지
경기도,감탄-수원화서역점,경기 수원시 팔달구 화서동 644-2 1층 3호
서울특별시,감탄-사가정역점,서울시 중랑구 면목동 459-15
충청북도,감탄-가경충대부고점,충북 청주시 흥덕구 가경동 1516 태암수정@상가 106호
전라남도,감탄-남악부영점,전남 무안군 삼향읍 남악리 1605번지
경기도,감탄-송화점,경기도 평택시 팽성읍 송화리 780-4
경상남도,감탄-사남점,경남 사천시 사남면 월성리 546-6
경기도,감탄-화서3호점,경기 수원시 팔달구 화서동 71-101
광주광역시,감탄-충장로점,광주광역시 동구 황금동 13-8
경기도,감탄-수원금곡점,경기 수원시 권선구 금곡동 567-1 센타프라자
경기도,감탄-하남풍산점,경기 하남시 덕풍동 743번지 트윈럭스오피스텔 108호
광주광역시,감탄-운암블루밍점,광주광역시 북구 운암동 68번지 벽산블루밍 201동 상가 103호
강원도,감탄-강릉포남점,강원도 강릉시 포남동 1186-1번지
광주광역시,감탄-남양휴튼점,광주광역시 광산구 신창동 1121 남양휴튼 상가 109호
강원도,감탄-도계점,강원도 삼척시  도계읍 전두리 50-8
서울특별시,감탄-가양역점,서울 강서구 등촌동 628 노블리움 오피스텔 102호
경기도,감탄-서판교점,경기도 성남시 분당구 운중동 929번지
부산광역시,감탄-해운대달맞이점,부산시 해운대구 좌동 1328 영남@ 제상가 108동 101호
경기도,감탄-청북점,경기도 평택시 청북면 옥길리 1104번지 1동 103호
경기도,감탄-가능점,경기도 의정부시 가능동 604번지
전라북도,감탄-신시가지문학점,전북 전주시 완산구 효자동3가 1616-7
전라북도,감탄-부안점,전북 부안군 부안읍 봉덕리 786-5
서울특별시,감탄-역삼역점,서울시 강남구 역삼동 644-9
충청남도,감탄-공주신관점(우수가맹점),충남 공주시 신관동 5-7 아이투빌@ 상가동 101호
경상남도,감탄-거창점,경남  거창군 거창읍 상림리 61-12
강원도,감탄-화천점,강원도 화천군 화천읍 하리 47-2
서울특별시,감탄-제기점,서울 동대문구 용두동 790 롯데캐슬피렌체 130호
경상남도,감탄-경화점,경남 창원시 진해구 경화동 972-10
충청북도,감탄-탄금점,충북 충주시 칠금동 1010
전라남도,감탄-순천법원점,전남 순천시 왕지동 850-13 1층
서울특별시,감탄-강남구청역점,서울 강남구 삼성동 7-3 래미안2차상가동 106호
충청남도,감탄-충남서천점,충남 서천군 서천읍 사곡리 278번지
전라북도,감탄-군산수송점,전북 군산시 수송동 841-3
경상남도,감탄-김해삼계점,경남 김해시 삼계동 1428-2 부영아파트 상가동 106호
경기도,감탄-분당푸른마을점,경기 성남시 분당구 수내동 79-1
경기도,감탄-행신역점,경기도 고양시 덕양구 행신동 757 진일 프라자 2차 103-1호 
대전광역시,감탄-신탄진역점,대전시 대덕구 신탄진동 143-23
경기도,감탄-의왕점,경기도 의왕시 삼동 200-54
전라남도,감탄-해남점,전남 해남군 해남읍 해리 597번지
경기도,감탄-신장사거리점,경기 하남시 신장동 427-14
충청남도,감탄-태안점,충남 태안군 태안읍 동문리 287-8
경상남도,감탄-휴앤락점,경남 김해시 내동 1131-4 휴앤락 119호
전라남도,감탄-순천금당점,전남 순천시 해룡면 상삼리 653번지 우미상가 102호
광주광역시,감탄-광주하남점,광주광역시 광산구 우산동 1572-6 어등하이빌 상가 110호
서울특별시,감탄-숭실대점,서울시 동작구 상도1동 486-6
대구광역시,감탄-롯데마트율하점,대구 동구 율하동 1117 번지 푸드코트
경기도,감탄-한대역점,경기 안산시 상록구 이동 716-8 코로스프라자 110호(한대역앞 뚜레주르건물)
경상남도,감탄-진주금산점,경남 진주시 금산면 장사리 963-2 청솔빌딩 101호
전라남도,감탄-호반점,전남 순천시 연향동 1610-2
전라남도,감탄-북항점,전남 목포 산정동 1202번지 신안비지 1차상가 109호
서울특별시,감탄-봉천우성점,서울 관악구 봉천동 21-15
경기도,감탄-식사점,경기 고양시 일산동구 식사동 1510번지 블루밍 일산위시티 3단지상가 107호
충청북도,감탄-충주연수점,충북 충주시 연수동 1634번지 골드프라자 104호
서울특별시,감탄-공릉풍림점,서울 노원구 공릉동 727 풍림아파트 114동 B상가 105-3
광주광역시,감탄-양산점,광주광역시 북구 양산동 759번지
충청북도,감탄-진천점,충북 진천군 진천읍 교성리 31-105
인천광역시,감탄-신현점,인천 서구 가정동 504-7 105호
충청남도,감탄-논산내동점,충남 논산시 내동 272 제이파크 1단지 상가 108동 106호
전라북도,감탄-신풍점,전북 김제시 신풍동 595번지 비사벌a 상가 107호
서울특별시,감탄-신목동점,서울시 양천구 목동 753-7
서울특별시,감탄-상왕십리역점,서울 성동구 하왕십리동 946-40
전라남도,감탄-광양점,전남 광양시 중동 1655 호반리젠시빌 상가 111호
강원도,감탄-김화점,강원도 철원군 서면 와수2리 1147-19
경기도,감탄-무원점,경기 고양시 덕양구 행신동 619-18 1층2호
충청북도,감탄-성화점,충북 청주시 흥덕구 성화동 439
경기도,감탄-안산호수공원점,경기 안산시 사동 1512번지 안산고잔6차푸르지오 상가동 106호
경기도,감탄-녹양점(우수가맹점),경기 의정부시 녹양동 83-55
서울특별시,감탄-보람점,서울 노원구 상계동 456-135
광주광역시,감탄-광주풍암점,광주광역시 서구 풍암동 1101번지 상가101호
경기도,감탄-천천2호점,경기 수원시 장안구 천천동 571-4 골든프라자 108호
전라남도,감탄-코아루점,전남 목포시 옥암동 1149 코아루아파트 상가 108호
전라북도,감탄-신일점,전북 군산시 나운동 156-2 신일아파트 상가 1층 111호
전라북도,감탄-평화2호점,전북 전주시 완산구 평화동1가 733-2번지
대전광역시,감탄-월평점(우수가맹점),대전시 서구 월평동 222 한아름 아파트상가 102호
부산광역시,감탄-안락점,부산 동래구 안락동 151-12번지
경기도,감탄-소하점,경기 광명시 소하동 1242-9
전라남도,감탄-옥암점,전남 목포시 옥암동 1030번지
충청북도,감탄-오창쌍용점,충북 청원군 오창읍 각리 647-1 쌍용스윗닷홈 상가 104호
전라북도,감탄-효자2호점,전북 전주시 완산구 효자동 2가 1313-5번지 102호
경기도,감탄-진접1호점,경기 남양주시 진접읍 금곡리 1095
울산광역시,감탄-화봉점,울산광역시 북구 화산로14(화봉동 휴먼프라자105호)
경기도,감탄-의정부용현2호점,경기 의정부시 용현동 232-2
서울특별시,감탄-목동트윈빌점,서울 양천구 목동 905-22 목동트윈빌 제1층
강원도,감탄-퇴계점,강원도 춘천시 퇴계동 914-6
부산광역시,감탄-당리점,부산시 사하구 당리동 317-1
전라북도,감탄-송천3호점(우수가맹점),전북 전주시 송천동1가 138-2번지 1층
경기도,감탄-양곡점,경기 김포시 양촌면 양곡리 1293 양곡휴먼시아 고다니마을 상가 104호
인천광역시,감탄-작전2호점,인천 계양구 작전동 287-3 104호
전라북도,감탄-효자서부점,전북 전주시 완산구 효자동1가 193-2
강원도,감탄-금학점 ,강원도 강릉시 금학동 20-1
충청북도,감탄-제천중앙점,충북 제천시 중앙로1가 27번지 1호
전라남도,감탄-석현점,전남 목포시 석현동 1173-2번지 경현빌딩 1층
인천광역시,감탄-청천2호점,인천 부평구 청천동 259-3번지
경기도,감탄-석수점,경기 안양시 만안구 석수3동 784번지 석수아이파크 단지내상가 102호
경기도,감탄-분당정자점,경기 성남시 분당구 정자동 117-2 한솔마을6단지 상가1층 104호
경기도,감탄-가남점,경기 여주군 가남면 태평리 141-4
서울특별시,감탄-성북역점,서울 노원구 월계동 922번지 서광아파트 104호
전라남도,감탄-남악점,전남 무안군 삼향면 남악리 2097
전라북도,감탄-송천2호점,전북 전주시 덕진구 송천동2가 530-3 대명상가 1동 204호
인천광역시,감탄-인천시청점,인천 남동구 간석1동 749-8번지
전라남도,감탄-영광점,전남 영광군 영광읍 남천리 324-7번지
경기도,감탄-후곡점,경기 고양시 일산서구 일산동 1060번지 뉴-시티프라자 106호
전라북도,감탄-군산대점,전북 군산시 미룡동 879-1번지
경기도,감탄-비산2호점,경기 안양시 동안구 비산동 425번지 삼성래미안상가 2층 223호
경기도,감탄-양주백석점,경기 양주시 백석읍 복지리 107-4번지
경기도,감탄-산본3호점,경기 군포시 산본동 1099-2외 1필지 대림프라자 104호
경기도,감탄-역곡남부역점,경기 부천시 소사구 괴안동 114-8외 1필지
경기도,"감탄-광릉(구,팔야)",경기 남양주시 진접읍 팔야리 728-1번지
경기도,감탄-당동점(우수가맹점),경기 군포시 당동 771-8
경상남도,감탄-대청점,경남 김해시 장유면 대청리 333-3 갑오마을 부영A 제상가동 101호
광주광역시,감탄-신창점,광주광역시 광산구 신창동 1264번지 신창부영5차아파트 상가1동 108동
충청북도,감탄-가경2호점,충북 청주시 흥덕구 가경동 1984번지 101호
부산광역시,감탄-오션시티점,부산 강서구 명지동 3231 영어도시퀸덤1차 링컨타운상가 255
경기도,감탄-오정점,경기 부천시 오정구 오정동 177-9번지
인천광역시,감탄-검암2호점,인천 서구 검암동 508-1 장은프라자 116호
인천광역시,감탄-인하대점,인천 남구 용현동 190-32
경기도,감탄-송정점,경기 이천시 송정동 314-13 103호
인천광역시,감탄-신기점,인천 남구 주안동 1523-5
경기도,감탄-아름마을점,경기 성남시 분당구 야탑동 533-3 동양프라자 109호
충청북도,감탄-가경점,충북 청주시 흥덕구 가경동 1219번지
충청남도,감탄-금암점,충남 계룡시 금암동 168-2번지 103호
경기도,감탄-신장점,경기 하남시 신장동 105-4번지 102호 A실
인천광역시,감탄-송도점,인천 연수구 송도동 3-7 아크리아② 108호
